ss_delay,ss_amount,ll_delay,ll_amount
0,54,117,55
0,55,61,75
0,19,53,25
0,31,7,85
0,14,19,25
0,47,160,50
0,15,13,35
0,25,14,60
0,78,162,80
0,40,62,55
0,11,7,30
0,67,119,75
0,34,186,35
0,27,21,50
0,69,91,85
0,49,89,60
0,80,157,85
0,24,29,35
0,33,14,80
0,28,179,30
0,34,30,50
0,25,80,30
0,41,20,75
0,54,111,60
0,54,30,80
0,22,136,25
0,20,7,55
